"id_student","gender","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","date_registration","sum_click","date_submitted","score","weight","module_presentation_length","final_result"
558851,"0","1","0","0",0,60,"0",-24,"6419",13,62,12.5,240,"1"
558854,"0","1","0","0",0,60,"0",-22,"1055",18,94,12.5,240,"0"
558907,"1","0","4","0",0,60,"0",-23,"4468",14,98,12.5,240,"1"
558915,"0","0","4","0",0,120,"1",-22,"6336",19,98,12.5,240,"1"
558963,"0","1","3","0",0,60,"0",-22,"2254",18,72,12.5,240,"1"
559004,"0","0","2","0",0,60,"0",-22,"2554",17,92,12.5,240,"1"
559058,"0","1","7","0",0,60,"0",-23,"7082",17,80,12.5,240,"1"
559062,"0","1","7","1",0,60,"0",-21,"497",18,54,12.5,240,"0"
559155,"0","2","2","1",0,60,"0",-18,"10858",10,82,12.5,240,"1"
559397,"0","1","7","0",0,60,"0",-24,"849",16,74,12.5,240,"0"
559423,"0","0","6","1",0,60,"0",-24,"9158",21,98,12.5,240,"1"
559440,"0","2","7","0",0,60,"0",-16,"2087",18,86,12.5,240,"1"
559454,"0","1","3","0",0,60,"0",-24,"4017",18,90,12.5,240,"1"
559589,"0","0","7","0",0,60,"0",-15,"4340",19,86,12.5,240,"1"
559594,"0","1","6","0",0,60,"0",-22,"4777",14,78,12.5,240,"1"
559609,"0","0","9","0",0,60,"0",-23,"2817",14,88,12.5,240,"1"
559642,"0","2","3","0",0,60,"0",-21,"2469",19,98,12.5,240,"1"
559688,"0","0","5","1",0,60,"0",-23,"287",19,82,12.5,240,"0"
559760,"0","1","6","1",0,60,"0",-22,"6915",18,80,12.5,240,"1"
559768,"0","1","1","1",0,60,"0",-22,"1414",18,60,12.5,240,"0"
559785,"0","1","7","0",0,60,"0",-22,"11858",17,98,12.5,240,"1"
559856,"0","1","0","0",0,60,"0",-21,"12110",18,96,12.5,240,"1"
559991,"0","1","7","0",0,60,"1",-22,"600",24,46,12.5,240,"0"
560022,"0","2","9","2",0,60,"0",-16,"4281",18,96,12.5,240,"1"
560067,"0","0","4","0",0,90,"0",-16,"858",18,100,12.5,240,"0"
560072,"1","2","1","1",0,60,"0",-15,"5697",15,84,12.5,240,"1"
560182,"0","1","9","1",0,90,"1",-21,"8122",18,90,12.5,240,"1"
560199,"0","1","5","1",0,120,"0",-22,"3320",18,96,12.5,240,"1"
560207,"0","4","2","0",0,60,"0",-18,"7450",17,64,12.5,240,"1"
560404,"0","0","3","1",0,75,"1",-15,"6060",14,80,12.5,240,"0"
560410,"0","1","3","0",0,60,"0",-15,"2010",69,76,12.5,240,"2"
560425,"0","0","1","0",0,60,"0",-21,"6592",18,76,12.5,240,"1"
560431,"0","0","7","1",0,60,"0",-20,"18039",17,100,12.5,240,"1"
560496,"1","0","6","0",0,90,"0",-18,"6430",19,84,12.5,240,"2"
560585,"0","0","0","0",0,60,"0",-20,"9875",19,94,12.5,240,"1"
962951,"0","0","5","1",2,150,"0",-15,"108",60,74,12.5,240,"2"
988019,"1","0","2","1",0,60,"1",-22,"3671",18,90,12.5,240,"2"
999174,"0","2","7","2",1,150,"0",-58,"6307",15,72,12.5,240,"1"
1026777,"0","1","6","1",1,210,"0",-20,"552",34,86,12.5,240,"2"
1034674,"0","0","6","1",0,60,"0",-48,"6543",18,88,12.5,240,"1"
1054876,"0","1","6","1",0,60,"0",-59,"1036",20,76,12.5,240,"0"
1073767,"1","2","8","1",0,60,"0",-34,"6145",17,90,12.5,240,"1"
1090738,"0","0","7","1",1,150,"0",-22,"1325",18,78,12.5,240,"0"
1097354,"0","2","6","1",0,90,"0",-24,"3269",26,94,12.5,240,"1"
1118284,"0","0","6","1",0,60,"0",-22,"3778",18,84,12.5,240,"1"
1337055,"0","2","8","1",1,150,"0",-25,"2685",17,86,12.5,240,"1"
1347198,"0","0","8","1",0,60,"0",-21,"2804",17,92,12.5,240,"1"
1397662,"1","1","3","1",0,60,"0",-52,"7858",19,80,12.5,240,"0"
1436558,"0","0","5","1",0,60,"0",-34,"3058",16,76,12.5,240,"1"
1440072,"0","2","2","1",0,150,"0",-52,"4366",15,84,12.5,240,"1"
1442706,"1","2","2","1",0,90,"1",-22,"2238",19,76,12.5,240,"0"
