gender,num_of_prev_attempts,studied_credits,disability,date_registration,sum_click,date_submitted,score,weight,module_presentation_length,A Level or Equivalent,Lower Than A Level,HE Qualification,Post Graduate Qualification,No Formal quals,0-35,35-55,55<=,final_result
1,0,60,1,-67,137,154,83,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-23,6,159,66,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-36,552,173,47,18,240,0,0,1,0,0,1,0,0,0
1,0,60,0,-16,526,166,68,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-16,732,159,78,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-65,1175,157,85,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-49,269,166,58,18,240,1,0,0,0,0,1,0,0,2
1,0,60,0,-21,402,166,75,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-21,507,159,47,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-11,3286,162,76,18,240,0,0,1,0,0,1,0,0,1
1,0,120,0,-52,2290,165,85,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-49,558,159,88,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-48,434,164,60,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-52,516,142,85,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-58,1184,159,80,18,240,0,0,1,0,0,0,1,0,1
1,0,60,1,-60,880,159,55,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-30,719,158,78,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-46,191,159,67,18,240,1,0,0,0,0,1,0,0,1
0,0,60,1,-59,626,169,41,18,240,0,1,0,0,0,0,1,0,1
0,0,60,0,-50,458,159,54,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-58,1019,159,68,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-21,566,159,87,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-22,962,159,72,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-46,500,159,70,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-53,2504,160,40,18,240,1,0,0,0,0,1,0,0,0
1,0,120,0,-58,1108,157,77,18,240,1,0,0,0,0,0,1,0,1
0,0,60,0,-20,282,167,71,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-23,1373,159,95,18,240,0,1,0,0,0,1,0,0,1
1,0,120,1,-58,1390,158,87,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-43,981,157,95,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-16,169,159,73,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-55,532,158,78,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-52,6358,156,90,18,240,0,1,0,0,0,0,1,0,1
1,0,120,1,-53,210,158,72,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-11,797,151,55,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-16,175,143,61,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-36,168,159,50,18,240,0,1,0,0,0,1,0,0,0
1,0,90,0,-36,133,159,48,18,240,0,1,0,0,0,1,0,0,0
1,0,60,1,-46,790,158,95,18,240,1,0,0,0,0,0,1,0,1
