gender,num_of_prev_attempts,studied_credits,disability,date_registration,sum_click,date_submitted,score,weight,module_presentation_length,A Level or Equivalent,Lower Than A Level,HE Qualification,Post Graduate Qualification,No Formal quals,0-10IMD,10-20IMD,20-30IMD,30-40IMD,40-50IMD,50-60IMD,60-70IMD,70-80IMD,80-90IMD,90-100IMD,0-35,35-55,55<=,final_result
0,0,60,0,-24,6419.0,13,62,12.5,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-22,1055.0,18,94,12.5,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,60,0,-23,4468.0,14,98,12.5,240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,120,1,-22,6336.0,19,98,12.5,240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,60,0,-22,2254.0,18,72,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-22,2554.0,17,92,12.5,240,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-23,7082.0,17,80,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,60,0,-21,497.0,18,54,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,60,0,-18,10858.0,10,82,12.5,240,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-24,849.0,16,74,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,60,0,-24,9158.0,21,98,12.5,240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,60,0,-16,2087.0,18,86,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,60,0,-24,4017.0,18,90,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-15,4340.0,19,86,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,60,0,-22,4777.0,14,78,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,60,0,-23,2817.0,14,88,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,60,0,-21,2469.0,19,98,12.5,240,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-23,287.0,19,82,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,60,0,-22,6915.0,18,80,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,60,0,-22,1414.0,18,60,12.5,240,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,60,0,-22,11858.0,17,98,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,60,0,-21,12110.0,18,96,12.5,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,60,1,-22,600.0,24,46,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,60,0,-16,4281.0,18,96,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,90,0,-16,858.0,18,100,12.5,240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,60,0,-15,5697.0,15,84,12.5,240,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0,0,90,1,-21,8122.0,18,90,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,120,0,-22,3320.0,18,96,12.5,240,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,60,0,-18,7450.0,17,64,12.5,240,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,75,1,-15,6060.0,14,80,12.5,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,60,0,-15,2010.0,69,76,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,60,0,-21,6592.0,18,76,12.5,240,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-20,18039.0,17,100,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,90,0,-18,6430.0,19,84,12.5,240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
0,0,60,0,-20,9875.0,19,94,12.5,240,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,2,150,0,-15,108.0,60,74,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
1,0,60,1,-22,3671.0,18,90,12.5,240,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
0,1,150,0,-58,6307.0,15,72,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,1,210,0,-20,552.0,34,86,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
0,0,60,0,-48,6543.0,18,88,12.5,240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,60,0,-59,1036.0,20,76,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,60,0,-34,6145.0,17,90,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,150,0,-22,1325.0,18,78,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,90,0,-24,3269.0,26,94,12.5,240,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,60,0,-22,3778.0,18,84,12.5,240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,1,150,0,-25,2685.0,17,86,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,60,0,-21,2804.0,17,92,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,60,0,-52,7858.0,19,80,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,60,0,-34,3058.0,16,76,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,150,0,-52,4366.0,15,84,12.5,240,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,0,90,1,-22,2238.0,19,76,12.5,240,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,60,0,-87,3501.0,15,86,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,60,0,-11,3037.0,18,88,12.5,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-52,4607.0,18,86,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,60,0,-86,4822.0,15,100,12.5,240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,60,0,-24,2367.0,18,76,12.5,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,90,0,-86,1652.0,18,80,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,60,1,-16,3239.0,16,90,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
0,0,60,0,-127,527.0,19,76,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
0,0,60,0,-21,2650.0,18,76,12.5,240,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0,1,120,0,-98,584.0,18,68,12.5,240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
0,1,120,0,-140,1688.0,19,90,12.5,240,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,120,0,-97,7215.0,14,74,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,90,0,-57,4165.0,18,96,12.5,240,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,60,0,-28,4350.0,18,86,12.5,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,60,0,-34,2436.0,16,94,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,60,0,-24,1258.0,18,86,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,0,60,0,-59,2824.0,17,72,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,90,0,-23,272.0,17,100,12.5,240,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,60,0,-79,862.0,18,86,12.5,240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,60,0,-16,1876.0,18,74,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
1,0,90,0,-140,164.0,17,76,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,90,0,-14,963.0,17,80,12.5,240,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
1,1,120,0,-24,8335.0,18,80,12.5,240,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,60,0,-30,3422.0,16,84,12.5,240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,90,0,-22,1104.0,19,90,12.5,240,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,70,0,-9,312.0,19,70,12.5,240,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,60,0,-22,307.0,19,60,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
1,0,60,0,-28,3286.0,18,100,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,60,0,-30,6077.0,18,76,12.5,240,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-15,4379.0,19,86,12.5,240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,120,0,-93,1806.0,19,70,12.5,240,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-83,3727.0,17,92,12.5,240,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,0,90,0,-34,11881.0,15,94,12.5,240,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,60,0,-16,2258.0,14,80,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,1,120,0,-21,1426.0,18,86,12.5,240,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1,120,0,-24,3972.0,18,96,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,90,0,-199,3762.0,17,94,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,60,1,-49,5151.0,18,76,12.5,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-23,5898.0,17,84,12.5,240,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,90,0,-94,1126.0,16,82,12.5,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,60,0,-78,2542.0,17,100,12.5,240,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,90,0,-65,3418.0,18,82,12.5,240,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,60,0,-263,2891.0,21,32,12.5,240,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,80,0,-24,635.0,14,68,12.5,240,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
1,0,90,0,-151,2568.0,19,98,12.5,240,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,150,0,-97,3484.0,17,88,12.5,240,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
